stationID,nameTH,nameEN,areaTH,areaEN,stationType,lat,long,PM25.color_id,PM25.aqi,PM10.color_id,PM10.aqi,O3.color_id,O3.aqi,CO.color_id,CO.aqi,NO2.color_id,NO2.aqi,SO2.color_id,SO2.aqi,AQI.color_id,AQI.aqi,AQI.param,datetime
02t,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Bansomdejchaopraya Rajabhat University,"แขวงหิรัญรูจี เขตธนบุรี, กรุงเทพฯ","Hiran Ruchi, Khet Thon Buri, Bangkok",GROUND,13.732846,100.487662,3,52,0,-1,0,-1,0,-1,0,-1,0,-1,3,52,PM25,2025-05-01 23:00:00
03t,ริมถนนทางหลวงหมายเลข 3902 ,Highway NO.3902 km.13 +600,"ริมถนนกาญจนาภิเษก เขตบางขุนเทียน, กรุงเทพฯ","Kanchanaphisek Rd, Bang Khun Thian, Bangkok",GROUND,13.636514,100.414262,3,54,0,-1,0,-1,0,-1,0,-1,0,-999,3,54,PM25,2025-05-01 23:00:00
11t,การเคหะชุมชนห้วยขวาง ,National Housing  Huaykwang,"แขวงดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng, Khet Din Daeng, Bangkok",GROUND,13.77553,100.569195,2,47,0,-1,0,-1,0,-1,0,-1,0,-1,2,47,PM25,2025-05-01 23:00:00
12t,โรงเรียนนนทรีวิทยา ,Nonsi Witthaya School,"แขวงช่องนนทรี เขตยานนาวา, กรุงเทพฯ","Chong Nonsi, Khet Yannawa, Bangkok",GROUND,13.70806667,100.5473333,2,46,0,-1,0,-1,0,-1,0,-1,0,-1,2,46,PM25,2025-05-01 23:00:00
50t,โรงพยาบาลจุฬาลงกรณ์,Chulalongkorn Hospital,"ริมถนนพระราม 4 เขตปทุมวัน, กรุงเทพฯ","Rama IV Rd. Khet Pathum Wan, Bangkok",GROUND,13.729852,100.536501,3,65,0,-1,0,-999,0,-1,0,-1,0,-999,3,65,PM25,2025-05-01 23:00:00
52t,การไฟฟ้าย่อยธนบุรี ,Thonburi Power Sub-Station,"ริมถนนอินทรพิทักษ์ เขตธนบุรี, กรุงเทพฯ","Intarapitak Rd. Khet Thon Buri, Bangkok",GROUND,13.727622,100.486568,3,53,0,-1,0,-1,0,-1,0,-1,0,-1,3,53,PM25,2025-05-01 23:00:00
53t,สถานีตำรวจนครบาลโชคชัย ,Chokchai Police Station,"ริมถนนลาดพร้าว เขตวังทองหลาง, กรุงเทพฯ","Lat Phrao Rd. Khet Wang Thonglang, Bangkok",GROUND,13.7954248,100.5930298,3,65,0,-1,0,-999,0,-1,0,-1,0,-999,3,65,PM25,2025-05-01 23:00:00
54t,การเคหะชุมชนดินแดง ,National Housing Authority Dindaeng,"ริมถนนดินแดง เขตดินแดง, กรุงเทพฯ","Din Daeng Rd. Khet Din Daeng, Bangkok",GROUND,13.76251667,100.5502,3,69,2,36,0,-1,1,24,0,-1,0,-1,3,69,PM25,2025-05-01 23:00:00
59t,กรมประชาสัมพันธ์,The Government Public Relations Department ,"แขวงพญาไท เขตพญาไท, กรุงเทพฯ","Phaya Thai, Khet Phaya Thai, Bangkok",GROUND,13.783185,100.540489,2,32,1,16,0,-1,0,-1,0,-1,0,-999,2,32,PM25,2025-05-01 23:00:00
61t,โรงเรียนบดินทรเดชา (สิงห์ สิงหเสนี) ,Bodindecha Sing Singhaseni School,"แขวงพลับพลา เขตวังทองหลาง, กรุงเทพฯ","Pubpla, Khet Wang Thonglang, Bangkok",GROUND,13.769634,100.614567,2,45,0,-1,0,-1,0,-999,0,-1,0,-1,2,45,PM25,2025-05-01 23:00:00
